English,Hungarian,German,Slovak,Czech,Italian
Mom,Anya,Mutter,Mama,Máma,Mamma
Dad,Apa,Vater,Otec,Táta,Papà
Brother,Fivér,Bruder,Brat,Bratr,Fratello
Sister,Nővér,Schwester,Sestra,Sestra,Sorella
Grandma,Nagymama,Oma,Babička,Babička,Nonna
Grandpa,Nagypapa,Opa,Dedko,Dědeček,Nonno
Uncle,Nagybácsi,Onkel,Ujo,Strýc,Zio
Aunt,Nagynéni,Tante,Teta,Teta,Zia
Cousin,Unokatestvér,Cousin/Cousine,Sesternica/Bratranec,Sestřenice/Bratranec,Cugino/Cugina
Baby,Baba,Baby,Bábätko,Miminko,Bambino
Child,Gyermek,Kind,Dieťa,Dítě,Figlio
Parent,Szülő,Elternteil,Rodič,Rodič,Genitore
Son,Fiú,Sohn,Syn,Syn,Figlio
Daughter,Lány,Tochter,Dcéra,Dcera,Figlia
Family,Család,Familie,Rodina,Rodina,Famiglia
Home,Otthon,Zuhause,Domov,Domov,Casa
Love,Szeretet,Liebe,Láska,Láska,Amore
Care,Gondoskodás,Pflege,Starostlivosť,Péče,Cura
Support,Támogatás,Unterstützung,Podpora,Podpora,Sostegno
Together,Együtt,Zusammen,Spolu,Spolu,Insieme
Relative,Rokon,Verwandte,Príbuzný,Příbuzný,Parente
Marriage,Házasság,Ehe,Manželstvo,Manželství,Matrimonio
Kin,Rokon,Verwandtschaft,Príbuzenstvo,Příbuzenstvo,Parentela
Close,Közeli,Nah,Blízky,Blízký,Vicino
Reunion,Találkozó,Wiedersehen,Stretnutie,Setkání,Riunione
Bond,Kötelék,Bindung,Putá,Pouto,Legame
Niece,Unokahúg,Nichte,Neter,Neteř,Nipote (f.)
Nephew,Unokaöcs,Neffe,Synovec,Synovec,Nipote (m.)
Household,Háztartás,Haushalt,Domácnosť,Domácnost,Famiglia
Guardian,Gyám,Vormund,Opatrovník,Opatrovník,Tutore
