English,Hungarian,German,Slovak,Czech,Italian
Travel,Utazás,Reise,Cestovanie,Cestování,Voyaggio
Trip,Kirándulás,Ausflug,Výlet,Výlet,Viaggio
Journey,Út,Reise,Cesta,Cesta,Viaggio
Destination,Célállomás,Reiseziel,Cieľ,Cíl,Meta
Ticket,Jegy,Ticket,Vstupenka,Vstupenka,Biglietto
Passport,Útlevél,Pass,Pas,Pas,Passaporto
Visa,Vízum,Visa,Vízum,Vízum,Visto
Luggage,Bőrönd,Cargo,Zavazadlo,Zavazadlo,Bagaglio
Backpack,Hátizsák,Rucksack,Chrbát, batoh,Zaino
Hotel,Hote,l Hotel,Hotel,Hotel,Hotel
Reservation,Foglalás,Reservierung,Rezervácia,Rezervace,Riserva
Sightseeing,Látnivalók,Sehenswürdigkeiten,Prehliadka,Prohlídka,Visita
Map,Térkép,Karte,Mapa,Mapa,Mappa
Guide,Idegenvezető,Führer,Prievodca,Průvodce,Guida
Tour,Csoportos utazás,Tour,Túra,Túra,Tour
Itinerary,Útvonalterv,Reiseverlauf,Cestovný plán,Cestovní plán,Itinerario
Airport,Légi kikötő,Flughafen,Letisko,Letiště,Aeroporto
Flight,Járat,Flug,Let,Let,Passeggiata
Train,Vonat,Zug,Vlak,Vlak,Treno
Bus,Busz,Bus,Autobus,Autobus,Autobus
Car,Autó,Auto,Auto,Auta,Auto
Driver,Vezető,Fahrer,Vodič,Vodič,Cacciatore
Tourist,Turista,Tourist,Turista,Turista,Turista
Souvenir,Szuvenír,Souvenir,Suvenír,Suvenýr,Souvenir
Culture,Kultúra,Kultur,Kultúra,Kultura,Cultura
Adventure,Kaland,K Abenteuer, dobrodružstvo,Dobrodružství,Avventura
Experience,Tapasztalat,Erfahrung,Zážitok,Zážitky,Esperienza
