English,Hungarian,German,Slovak,Czech,Italian
Sport,Sport,Sport,Šport,Sport,Sport
Football,Foci,Fußball,Futbal,Fotbal,Calcio
Basketball,Basketball,Basketball,Basketbal,Basketball,Pallacanestro
Tennis,Tennis,Tennis,Tenis,Tenis,Tennis
Swimming,Úszás,Schwimmen,Plávanie,Plavání,Nuoto
Running,Futás,Laufen,Beh,Luk,Corse
Cycling,Csikózás,Radfahren,Cyklistika,Cyklistika,Ciclismo
Golf,Golf,Golf,Golf,Golf,Golf
Boxing,Boksz,Boxen,Box,Boj,Boxe
Baseball,Bisz,Baseball,Baseball,Baseball,Baseball
Gymnastics,Gimnasztika,Gymnastik,Gymnastika,Gymnastika,Ginnastica
Athletics,Atlétika,Leichtathletik,Atletika,Atletika,Atletica
Rugby,Rögbi,Rugby,Rugby,Rugby,Rugby
Hockey,Hoki,Eishockey,Hokej,Hokej,Hockey
Volleyball,Rekord,Völkerball,Volleybal,Volejbal,Volley
Skiing,Síelés,Ski,Snowboard,Skidlení,Sci
Surfing,Szörfözés,Surfen,Surfovanie,Surfování,Surf
Skating,Korcsolyázás,Eislaufen,Korčuľovanie,Korčulovanie,Pattinaggio
Fencing,Vívás,Fechten,Šerm,Šerm,Fioretto
Wrestling,Birkózás,Ringen,Zápasenie,Zápasení,Lotta
Martial Arts,Harcművészetek,Kampfkünste,Martial Arts,Martial Arts,Arti marziali
Coach,Edző,Trainer,Tréner,Kouč,Allenatore
Team,Csapat,Mannschaft,Tím,Tým,Team
Competition,Verseny,Wettbewerb,Súťaž,Soutěž,Competizione
