English,Hungarian,German,Slovak,Czech,Italian
Red,Piros,Rot,Červená,Červená,Rosso
Blue,Kék,Blaut,Modrá,Modrá,Blu
Green,Zöld,Grün,Zelená,Zelená,Verde
Yellow,Sárga,Gelb,Žltá,Žlutá,Giallo
Orange,Narancs,Orange,Oranžová,Oranžová,Arancione
Purple,Lila,Lila,Fialová,Fialová,Viola
Pink,Rózsaszín,Rosa,Ružová,Růžová,Rosa
Brown,Barna,Braun,Hnedá,Hnědá,Marrone
Black,Fekete,Schwarz,Čierna,Černá,Nero
White,Fehér,Weiß,Biela,Bílá,Bianco
Gray,Szürke,Grau,Sivá,Sivá,Grigio
Violet,Lila,Violett,Violová,Violová,Violetto
Cyan,Cian,Cyan,Azúrová,Azurová,Ciano
Magenta,Magentás,Magenta,Magentová,Magentová,Magenta
Gold,Arany,Gold,Zlatá,Zlatá,Oro
Silver,Ezüst,Silber,Strieborná,Stříbrná,Argento
Beige,Bezsárga,Beige,Béžová,Béžová,Beige
Coral,Korall,Riffrot,Koralová,Koralová,CORALLO
Turquoise,Türkiz,Türkis,Týrkysový,Týrkysový,Turchese
Lavender,Lila,Lavendel,Lavandulová,Lavandulová,Lavanda
Olive,Olív,Zweige,Olívový,Olivový,Oliva
Indigo,Indigókék,Indigo,Indigo,Indigo,Indaco
Peach,Őszibarack,Pfirsich, broskyňa, broskyňa,Pesco
Mint,Menta,Mint,mäta,menta,Menta
Navy,Haditengerészet,Tiefblau,Námorníctvo,Námořnictvo,Marina
Magenta,Magentás,Magenta,Magentová,Magentová,Magenta
Chartreuse,Chartreuse,Chartreuse,Chartreuse,Chartreuse,Chartreuse
Salmon,Tejszínes rózsaszín,Lachs,Losos,Růžový losos,Salmon
Plum,Szilva,Zwetschge,Slívka,Slívka,Prugna
