English,Hungarian,German,Slovak,Czech,Italian
House,Ház, Haus,Dom,Dům,Casa
Home,Otthon, Zuhause,Doma,Doma,Casa
Room,Szoba,Zimmer,Miestnosť,Místnost,Stanza
Kitchen,Konyha,Küche,Kuchyňa,Kuchyně,Cucina
Living Room,Nappali,Wohnzimmer,Obývacia izba,Obývací pokoj,Soggiorno
Bedroom,Hálószoba,Schlafzimmer,Spálňa,Ložnice,Camera da letto
Bathroom,Fürdőszoba,Badezimmer,Kúpeľňa,Koupelna,Bagno
Dining Room,Étkező,Eßzimmer,Jídelňa,Jídelna,Sala da pranzo
Basement,Pince,Keller,Pivnica,Sklep,Sottoscala
Attic,Padlás,Dachboden,Pôjd,Půda,Sottotetto
Garage,Garázs,Garage,Garáž,Garáž,Garage
Garden,Kert,Garten,Záhrada,Zahrada,Giardino
Balcony,Erkély,Balkon,Balkón,Balkon,Balcone
Furniture,Bútor,B Möbel,Nábytok,Nábytek,Mobili
Appliance,Háztartási gép,Gerät,Spotrebič,Spotřebič,Piastra
Dishwasher,Mosogatógép,Geschirrspüler,Umývačka riadu,Myčka na nádobí,Lavastoviglie
Refrigerator,Hűtőszekrény,Kühlschrank,Chladnička,Chladnička,Frigorifero
Oven,Sütő,Backofen,Rúra,Pec,Nebulizzatore
Stove,Tűzhely,Herd,Rúra,Varná deska,Fornello
Washing Machine,Mosógép,Wäschemaschine,Práčka,Pračka,Lavatrice
Dryer,Szárító, Trockner,Sušička,Sušička,Asciugatrice
Vacuum Cleaner,Porszívó,Staubsauger,Vysávač,Vysavač,Aspirapolvere
Table,Asztal,Tisch,Stôl,Stůl,Tavolo
Chair,Szék,Stuhl,Stolička,Židle,Sedia
Bed,Ágy,Bett,Posteľ,Postel,Letto
Lamp,Lámpa,Lampe,Lampa,Lampa,Lampada
Window,Ablak,Fenster,Okno,Okno,Finestra
Door,Ablak,Tür,Dvere,Dveře,Porta
