English,Hungarian,German,Slovak,Czech,Italian
Food,Étel,Essen,Jedlo,Jídlo,Cibo
Fruit,Gyümölcs,Gemüse,Fruit,Ovoce,Frutta
Vegetable,Zöldség,Gemüse,Zelenina,Zelenina,Ortaggi
Apple,Alma,Apfel,Jablko,Jablko,Mela
Banana,Banán,Banane,Banana,Banán,Cavolo
Orange,Narancs,Orange,Pomeranč,Pomeranč,Arancia
Grape,Szőlő,Traube,Hrozno,Hrozno,Uva
Pineapple,Ananász,Ananas,Ananás,Ananas,Ananas
Strawberry,Eper,Erdbeere,Jahoda,Jahoda,Fragola
Lemon,Citrom,Zitrone,Citrón,Citron,Limone
Peach,Őszibarack,Pfirsich,Marhuľa,Meruňka,Pesca
Tomato,Tomát,Tomate,Paradajka,Paradajka,Pomodoro
Carrot,Káposzta,Möhre,Mrkva,Mrkev,Carota
Potato,Krumpli,Kartoffel,Zemiak,Batát,Patata
Onion,Hagyma,Zwiebel,Cibuľa,Cibule,Cipolla
Rice,Rizs,Reis,Ryža,Rýže,Riso
Bread,Péksütemény,Brot,Chlieb,Chléb,Pane
Meat,Hús,Fleisch,Mäso,Maso,Carne
Fish,Hal,Fisch,Ryba,Ryba,Pesce
Chicken,Csirke,Huhn,Kura,Kohout,Pollo
Cheese,Sajt,Käse,Syr,Sýr,Formaggio
Egg,Tojás,Ei,Vajce,Vejce,Uovo
Snack,Snacks,Rohkost,Snack,Svačina,Spuntino
Dessert,Desszert,Nachtisch,Dezert,Dezert,Dessert
Meal,Étkezés,Mahlzeit,Jedlo,Jídlo,Pasto
