English,Hungarian,German,Slovak,Czech,Italian
Animal,Állat,Tier,Zviera,Zvíře,Animale
Dog,Kutya,Hund,Pes,Pes,Cane
Cat,Macska,Katze,Mačka,Kocour,Gatto
Bird,Madár,Vogel,VTÁK,Pták,Uccello
Fish,Hal,Fisch,Ryba,Ryba,Pesce
Horse,Ló,Pferd,Kôň,Kůň,Cavallo
Cow,Küsz,Akkum,Kráva,Kráva,Vacca
Sheep,Juh,Schaf,Ovca,Ovce,Pecora
Pig,Disznó,Schwein,Prasa,Prase,Maiale
Rabbit,Kisnyúl,Hase,Zajac,Zajíc,Cavia
Lion,Oroszlán,Löwe,Lev,Lev,Leone
Tiger,Tigris,Tiger,Tiger,Tiger,Tigre
Bear,Medve,Bär,Medveď,Medvěd,Orso
Elephant,Elefánt,Elefant,Slon,Slon,Elefante
Monkey,Mókus,Affe,Opica,Opice,Scimmia
Deer,Szarvas,Hirsch,Jelen,Jelen,Cervo
Giraffe,Zsiráf,Giraffe,Žirafa,Žirafa,Giraffa
Frog,Béka,Frosch,Žaba,Žába,Rana
Snake,Kígyó,Schlange,Had,Had,Serpente
Insect,Rovar,Insekt,Hmyz,Hmyz,Insetto
Spider,Pók,Spinne,Škrečok,Pavouk,Ragno
Ant,Hangya,Ameise,Mravec,Mravenec,Formica
