English,Hungarian,German,Slovak,Czech,Italian
One,Egy,Eins,Jeden,Jeden,Uno
Two,Kettő,Zwei,Dva,Dva,Due
Three,Három,Drei,Tri,Tři,Tre
Four,Négy,Vier,Štyri,Čtyři,Quattro
Five,Öt,Fünf,Päť,Pět,Cinque
Six,Hat,Sechs,Šesť,Šest,Sei
Seven,Hét,Sieben,Seven,Seven,Sette
Eight,Nyolc,Acht,Osem,Osmi,Otto
Nine,Kilenc,Neun,Deväť,Devět,Nove
Ten,Tíz,Zehn,Desať,Deset,Dieci
Add,Összeadni,Hinzufügen,Sčítať,Přidat,Aggiungere
Subtract,Kivonni,Subtrahieren,Odčítať,Odečíst,Detrarre
Multiply,Szorozni,Multiplizieren,Násobiť,Násobit,Moltiplicare
Divide,Osztani,Teilen,Deliť,Dělit,Dividere
Plus,Plus,Plus,Plus,Plus,Più
Minus,Mínusz,Minus,Mínus,Minus,Meno
Times,Szor,Mal,Násobok,Krát,Moltiplicato
Divided by,Osztva,Geteilt durch,Deleno, děleno,Diviso per
Equals,Egyezik,Erlöschen,Rovná sa,Rovná se,Uguale
Zero,Zero,Zero,Nula,Nula,Zero
One Thousand,Egy ezer,Eintausend,Tisíc,Tisíc,Mille
One Million,Egy millió,Eine Million,Milión,Million,Milione
Half,Fél,Hälfte,Poloha,Půl,Metà
Quarter,Négyed,Viertel,Štvrtina,Čtvrtina,Quarto
Dozen,Tucat,Dutzend,Dvanásť,Dvanáct,Dozzina
Percent,Százalék,Prozent,Percento,Procento,Percentuale
