English,Hungarian,German,Slovak,Czech,Italian
Restaurant,Étterem,Restaurant,reštaurácia,Restaurace,Ristorante
Menu,Menü,Speisekarte,Jedálny lístok, jídelní lístek,Menu
Table,Asztal,Tisch,Stôl,Stůl,Tavolo
Chair,Szék,Stuhl,Stolička,Židle,Sedia
Reservation,Foglalás,Reservierung,Rezervácia,Rezervace,Riserva
Waiter,Felszolgáló,Kellner,Čašník,Číšník,Cameriere
Waitress,Felszolgáló hölgy,Serviererin,Čašníčka,Číšnice,Cameriera
Order,Rendelés,Bestellung,Objednávka,Objednávka,Ordine
Dish,Étkezés,Gericht,Jedlo,Jídlo,Piatto
Appetizer,Előétel,Vorspeise,Predjedlo,Předkrm,Antipasto
Main Course,Főétel,Hauptgericht,Hlavné jedlo,Hlavní jídlo,Piatto principale
Dessert,Desszert,Nachtisch,Dezert,Dezert,Dessert
Drink,Ital,Getränk,Nápoj,Nápoj,Beverage
Water,Víz,Wasser,Voda,Voda,Acqua
Wine,Bor,Wein,Vín,Víno,Vino
Beer,Sör,Bier,Pivo,Pivo,Birra
Cocktail,Koktél,Cocktail,Koktail,Koktejl,Cocktail
Bill/Check,Számla,Rechnung,Účet,Účet,Conto
Tip,Jatt,Trinkgeld,Sprepitné,Dýško,Mancia
Taste,Íz, Geschmack,Chuť,Chuť,Gusto
Delicious,Fenséges,Köstlich,Chutné,Chutný,Squisito
Reservation Confirmed,Foglalás megerősítve,Reservierung bestätigt,Rezervácia potvrdená,Rezervace potvrzena,Foglia confermata
Specialty,Specialitás,Spezialität,Špecialita,Specialita,Specialità
Chef,Séf,Chef,Kuchár,Kuchař,Chef
Cook,Recepciós,F厨师,Kuchár,Kuchař,Cuoco
